0000055|23/08/2019|01,08,09,12,13,14,15,16,22,24,26,28,38,47,48,53,54,65,70,78
0000056|23/08/2019|01,02,05,09,13,15,19,30,35,36,41,45,47,58,67,68,70,73,74,78
0000057|23/08/2019|01,03,05,10,14,16,17,20,21,23,36,38,41,47,56,58,61,74,78,79
0000058|23/08/2019|07,09,27,28,29,33,35,36,41,42,56,59,62,64,67,71,73,74,78,80
0000059|23/08/2019|07,08,11,13,20,22,35,40,41,44,46,49,55,57,58,59,60,67,68,79
0000060|23/08/2019|04,05,06,11,13,14,20,24,26,30,43,49,52,53,59,61,62,64,65,74
0000061|23/08/2019|01,05,07,08,09,11,12,13,21,23,24,26,32,40,45,48,64,72,76,77
0000062|23/08/2019|01,07,20,24,29,32,33,38,44,45,46,48,55,61,63,64,72,73,74,76
0000063|23/08/2019|01,05,07,11,12,19,20,23,26,32,33,47,54,58,59,62,69,70,74,78
0000064|23/08/2019|04,11,19,20,21,27,33,37,39,40,43,45,49,50,51,59,65,66,68,79
0000065|23/08/2019|04,05,06,11,22,26,30,31,37,40,43,51,54,55,57,58,61,65,66,73
0000066|23/08/2019|01,05,15,20,23,24,28,38,39,44,45,50,53,57,65,70,73,74,76,77
0000067|23/08/2019|06,20,21,23,24,27,28,30,31,36,39,41,50,57,58,69,70,72,78,80
0000068|23/08/2019|02,03,08,12,16,23,24,25,27,30,32,34,41,42,49,56,57,61,65,73
0000069|23/08/2019|02,05,08,10,14,18,19,43,53,59,62,64,65,66,67,68,71,73,75,80
0000070|23/08/2019|09,11,14,15,23,26,36,41,43,44,48,54,59,65,67,69,74,77,79,80
0000071|23/08/2019|05,10,14,18,24,26,27,32,36,37,43,46,49,50,59,60,68,74,78,80
0000072|23/08/2019|09,13,17,21,25,31,33,39,40,44,48,50,53,58,60,61,68,69,70,79
0000073|23/08/2019|02,06,09,13,15,18,28,29,37,42,44,48,51,58,59,61,65,67,68,78
0000074|23/08/2019|02,04,10,23,28,45,46,51,57,58,59,60,61,64,66,68,71,73,76,78
0000075|23/08/2019|04,06,07,11,18,23,29,30,34,35,41,43,48,49,60,66,67,71,75,80
0000076|23/08/2019|01,04,08,11,13,18,19,28,31,34,35,42,44,49,51,52,55,57,74,75
0000077|23/08/2019|08,12,13,16,26,28,32,38,42,43,44,45,54,63,64,72,75,77,78,80
0000078|23/08/2019|02,04,05,07,12,13,16,20,27,28,33,34,43,46,52,53,61,68,69,71
0000079|23/08/2019|08,14,15,18,20,24,25,28,36,39,40,53,58,64,67,68,70,72,73,80
0000080|23/08/2019|13,14,15,21,26,31,34,35,36,41,44,58,59,60,68,71,73,74,78,80
0000081|23/08/2019|06,07,09,10,12,14,21,25,29,31,35,37,40,49,52,58,63,72,73,80
0000082|23/08/2019|03,05,06,07,08,10,11,15,20,28,33,44,47,48,53,59,62,67,72,76
0000083|23/08/2019|02,10,17,20,23,26,29,37,38,40,41,47,51,55,57,60,64,67,71,80
0000084|23/08/2019|03,10,11,15,20,23,27,30,31,32,34,37,45,48,66,70,72,78,79,80
0000085|23/08/2019|01,02,07,23,24,26,27,28,30,31,32,37,38,44,48,54,56,75,78,80
0000086|23/08/2019|07,08,09,13,15,18,22,23,26,29,35,36,40,41,54,55,59,61,69,73
0000087|23/08/2019|06,13,15,22,24,27,33,36,37,40,43,47,52,54,63,64,65,74,75,76
0000088|23/08/2019|01,03,05,06,10,11,17,26,30,42,43,53,54,58,59,61,68,70,77,80
0000089|23/08/2019|04,09,12,16,17,23,25,29,36,38,42,45,47,51,52,53,58,64,74,80
0000090|23/08/2019|05,06,18,19,20,33,35,40,41,42,44,51,54,57,59,61,65,71,74,77
0000091|23/08/2019|06,07,08,10,11,13,17,21,27,33,38,46,48,55,56,61,62,72,73,79
0000092|23/08/2019|01,02,12,15,19,23,25,33,39,43,44,45,50,51,55,64,68,73,74,77
0000093|23/08/2019|05,09,13,26,30,33,35,37,40,41,50,53,57,61,63,69,71,74,78,79
0000094|23/08/2019|04,18,24,27,28,29,30,44,46,47,49,58,60,61,62,63,67,73,74,78
0000095|23/08/2019|02,08,15,16,18,19,22,25,26,29,30,40,41,48,50,51,61,65,71,78
0000096|24/08/2019|02,04,05,08,12,13,15,22,34,40,42,47,51,56,58,60,68,74,75,79
0000097|24/08/2019|02,06,07,10,19,21,22,26,33,34,39,45,48,51,52,60,68,72,73,75
0000098|24/08/2019|11,21,23,24,28,34,35,37,46,48,52,53,54,56,60,61,62,68,75,80
0000099|24/08/2019|17,18,22,23,25,27,28,29,36,38,45,49,50,53,58,64,66,67,74,80
0000100|24/08/2019|02,03,04,08,10,13,14,25,27,28,33,34,39,46,54,57,59,71,74,75
0000101|24/08/2019|01,05,12,15,19,21,25,29,32,38,47,49,55,59,62,63,75,77,79,80
0000102|24/08/2019|01,03,08,14,16,17,19,22,30,38,44,45,48,49,54,67,70,72,76,80
0000103|24/08/2019|02,06,11,12,15,16,18,28,30,34,39,45,47,63,64,72,73,74,76,77
0000104|24/08/2019|06,08,09,12,14,16,20,24,30,32,40,45,52,53,63,65,66,68,74,78
0000105|24/08/2019|01,04,06,13,20,25,26,30,31,33,42,45,46,50,52,58,68,72,73,80
0000106|24/08/2019|01,09,12,14,16,26,28,30,32,39,40,47,51,60,64,66,68,70,74,76
0000107|24/08/2019|06,09,12,16,17,18,22,23,27,34,37,39,42,44,53,55,57,65,71,79
0000108|24/08/2019|04,06,10,15,19,29,34,35,36,37,38,40,42,45,46,47,48,49,67,78
0000109|24/08/2019|05,10,11,14,18,20,21,34,38,39,45,47,50,51,54,62,64,70,75,80
0000110|24/08/2019|04,08,09,13,28,29,31,32,33,37,38,39,40,52,55,58,59,61,62,66
0000111|24/08/2019|10,11,12,15,17,25,37,38,40,42,45,47,49,50,60,68,71,72,73,75
0000112|24/08/2019|12,16,21,24,26,27,31,33,34,36,40,41,53,54,55,57,62,67,71,79
0000113|24/08/2019|08,14,18,19,20,21,28,31,37,39,41,43,46,58,64,66,71,74,75,79
0000114|24/08/2019|05,07,09,17,19,22,27,28,29,30,36,37,40,43,44,47,48,67,74,80
0000115|24/08/2019|04,07,10,12,13,14,19,25,28,30,31,32,34,43,47,50,55,64,76,77
0000116|24/08/2019|06,17,18,20,25,27,28,32,34,40,46,52,58,59,65,66,69,71,72,74
0000117|24/08/2019|02,03,04,09,15,19,20,22,24,25,29,32,33,37,49,62,64,65,74,76
0000118|24/08/2019|08,09,12,15,17,21,24,26,33,35,37,43,56,58,59,69,70,72,78,80
0000119|24/08/2019|15,16,18,21,23,25,33,34,38,39,42,45,47,51,54,59,62,70,72,74
0000120|24/08/2019|02,04,05,06,14,17,30,31,33,35,37,41,46,48,54,64,69,70,76,79
0000121|24/08/2019|05,06,07,09,10,15,16,20,23,27,28,30,32,37,51,53,57,59,62,80
0000122|24/08/2019|02,06,07,08,09,19,20,24,26,27,41,42,45,47,55,60,66,71,72,79
